geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
1,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",265,0.00027464874067833177,0.5899464711859627,71.25
1,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",150,5.5803979893036715e-05,0.15854506132425894,52.96
1,332216,Saw Blade and Handtool Manufacturing,268,0.0001478564537153599,0.11828406642737205,51.48
1,332311,Prefabricated Metal Building and Component Manufacturing,444,0.00021956755082091624,-0.8630113349995776,20.72
1,332312,Fabricated Structural Metal Manufacturing,644,0.0005780541992024482,-0.47547964756161176,31.82
1,332313,Plate Work Manufacturing,493,0.0002825248574950608,-0.5401720123402193,29.49
1,332321,Metal Window and Door Manufacturing,254,0.0003923487879074978,0.048060203794352566,49.47
1,332322,Sheet Metal Work Manufacturing,581,0.0006713858966592439,-0.2810986854086684,37.74
1,332323,Ornamental and Architectural Metal Work Manufacturing,493,0.0002645640987527604,-0.20808354808642368,40.7
1,332410,Power Boiler and Heat Exchanger Manufacturing,150,0.000130716004299201,0.7734111258371142,77.7
1,332420,Metal Tank (Heavy Gauge) Manufacturing,368,0.00022263080382902496,-0.2900818563458327,37.53
1,332431,Metal Can Manufacturing,126,0.00012440593255965123,1.409627147368991,93.66
1,332439,Other Metal Container Manufacturing,171,8.413046557476114e-05,0.4585863657543542,65.12
1,332510,Hardware Manufacturing,200,0.00013182887149690344,0.5103279620512202,67.55
1,332613,Spring Manufacturing,147,8.905805796046412e-05,1.2691089134789482,90.49
1,332618,Other Fabricated Wire Product Manufacturing,303,0.0001396246783096745,-0.0768380669408404,45.45
1,332710,Machine Shops,1029,0.0015385905286832802,-1.048412319234887,17.23
1,332721,Precision Turned Product Manufacturing,286,0.00022667498617119097,0.3686743564708245,60.89
1,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",179,0.0002061959351619248,0.9203680516749752,81.71
1,332811,Metal Heat Treating,182,0.00010495943874412959,1.1998242308965967,89.11
1,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",450,0.0003440767390999419,0.06776382421385213,49.89
1,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",324,0.0003060786343701439,0.2928051527554574,58.67
1,332911,Industrial Valve Manufacturing,161,0.0001584459013800953,0.8966596268049696,80.97
1,332912,Fluid Power Valve and Hose Fitting Manufacturing,165,0.00020692446162640012,0.9344808480812367,81.82
1,332913,Plumbing Fixture Fitting and Trim Manufacturing,94,6.630738112496004e-05,1.0535954272452024,84.88
1,332919,Other Metal Valve and Pipe Fitting Manufacturing,124,8.550147207089968e-05,0.8011528158660817,78.44
1,332991,Ball and Roller Bearing Manufacturing,105,0.00011502113495428445,0.7306817354510524,76.22
1,332992,Small Arms Ammunition Manufacturing,98,7.000737773587788e-05,-1.0920947144246445,15.96
1,332993,Ammunition (except Small Arms) Manufacturing,34,0.00010330161080528425,0.5376786189076588,68.6
1,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",207,0.00014536684359266482,-0.10453352513338558,44.08
1,332996,Fabricated Pipe and Pipe Fitting Manufacturing,271,0.00018824664927733273,-0.022486951412084934,47.15
1,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,595,0.0005069282178400138,-0.6241513630657489,27.8
1,333111,Farm Machinery and Equipment Manufacturing,506,0.00038331391246223336,-2.145773698099792,1.8
1,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,106,9.231061312075932e-05,0.06686605319477903,49.79
1,333120,Construction Machinery Manufacturing,294,0.0004382058001674624,-0.6449039681948991,27.38
1,333131,Mining Machinery and Equipment Manufacturing,147,5.5631887027412625e-05,-0.44350715396881396,32.77
1,333132,Oil and Gas Field Machinery and Equipment Manufacturing,192,0.0002716887433895975,-1.5044839396836747,7.61
1,333241,Food Product Machinery Manufacturing,231,0.00012134841598039664,0.12702012124146395,51.9
1,333242,Semiconductor Machinery Manufacturing,51,0.00016722837395577778,1.9520325221753925,97.99
1,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",211,7.335171575783927e-05,0.09084330192448732,50.53
1,333248,All Other Industrial Machinery Manufacturing,438,0.00040823869583345504,0.11964263305201259,51.69
1,333310,Commercial and Service Industry Machinery Manufacturing,333,0.0005129457317080027,0.33196298884843317,59.83
1,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,202,0.0001889235478821208,0.5300625919173718,68.39
1,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,179,8.95628636996281e-05,0.2567230765112793,57.08
1,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,236,0.0005676769994053159,0.10338248880051551,50.74
1,333511,Industrial Mold Manufacturing,297,0.00018520634198464055,0.1464200869597338,52.33
1,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",383,0.0002953916674148882,-0.08919732610057989,44.61
1,333515,Cutting Tool and Machine Tool Accessory Manufacturing,230,0.00012195647743893509,0.7211618790808113,75.9
1,333517,Machine Tool Manufacturing,333,0.00024376380772766262,0.17650436866305605,53.59
1,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,129,6.581978467235848e-05,0.8228213650186028,79.18
1,333611,Turbine and Turbine Generator Set Units Manufacturing,82,0.00011608811072115378,0.6813066011648733,74.74
1,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",100,6.488474676913428e-05,1.3870381516090269,93.02
1,333613,Mechanical Power Transmission Equipment Manufacturing,138,7.642070519480212e-05,0.9873018251456216,83.09
1,333618,Other Engine Equipment Manufacturing,96,0.00027813075299279244,0.40670837504933305,62.47
1,333912,Air and Gas Compressor Manufacturing,149,0.00011395989561626926,0.508639396612742,67.34
