geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,21145,McCracken County,176,1.1697046043390165,85.84,-14.214169423335896,41.65
1,21147,McCreary County,84,-0.7717507102144376,23.54,-17.79402002115368,1.37
1,21149,McLean County,78,-0.9593457285051206,15.75,-16.60638106948306,8.08
1,21151,Madison County,152,0.9774182375260577,82.28,-13.24427722020514,52.82
1,21153,Magoffin County,91,-0.7919840446435142,22.37,-15.978498663182203,15.27
1,21155,Marion County,81,-0.10312312340241413,52.27,-13.1155108032329,53.87
1,21157,Marshall County,148,0.33899990278688397,67.61,-11.54914913125043,68.5
1,21159,Martin County,69,-0.853454892106709,19.73,-16.89019573966432,5.31
1,21161,Mason County,124,0.22631773438952893,64.37,-15.025999002992972,29.94
1,21163,Meade County,125,-0.37008562431574266,41.81,-12.138598469199524,63.54
1,21165,Menifee County,91,-0.2636099825344763,46.17,-15.788254215036565,18.04
1,21167,Mercer County,99,-0.4771504819389576,37.19,-15.731929269516966,18.9
1,21169,Metcalfe County,97,-0.7804305105163798,22.78,-17.241255414943804,3.21
1,21171,Monroe County,89,-1.0705394086126925,11.99,-15.90378150898438,16.29
1,21173,Montgomery County,127,0.34282759726107237,67.83,-14.623451873422662,36.02
1,21175,Morgan County,82,-1.1825987850933004,8.78,-17.022353773013926,4.52
1,21177,Muhlenberg County,112,-0.6059454666303441,30.61,-15.480412397759249,22.62
1,21179,Nelson County,127,0.25532240863567773,65.1,-13.388516386318157,51.48
1,21181,Nicholas County,91,-0.5571100672341142,33.18,-16.122451985066334,13.49
1,21183,Ohio County,95,-0.40789250990656706,40.15,-15.93255732197911,15.81
1,21185,Oldham County,200,1.1942609779451585,86.45,-6.957430682776996,91.98
1,21187,Owen County,95,-0.9644000125334075,15.53,-16.25559595711568,11.71
1,21189,Owsley County,71,0.05587877768442782,58.42,-13.78512280856297,47.28
1,21191,Pendleton County,108,-0.38564998696802877,40.92,-13.35647347930766,51.83
1,21193,Perry County,113,0.1789860254961276,63.0,-15.572551504301169,21.06
1,21195,Pike County,124,0.27020407159857845,65.67,-14.355539378722817,39.96
1,21197,Powell County,107,-0.13515955935515295,50.94,-14.894959978437962,32.07
1,21199,Pulaski County,182,0.4661483510099316,71.68,-9.117897074701103,83.84
1,21201,Robertson County,55,-1.0321419840311359,13.27,-15.201155073930392,27.27
1,21203,Rockcastle County,85,-0.5770751221219553,32.04,-15.899937212266838,16.35
1,21205,Rowan County,93,0.17714221560095034,62.87,-16.048203949468732,14.48
1,21207,Russell County,98,-0.7485831031067102,24.37,-17.279662097503472,3.02
1,21209,Scott County,95,0.8769359521764322,80.27,-10.506987925306696,76.04
1,21211,Shelby County,168,0.6767091295349051,76.58,-9.12736059991423,83.71
1,21213,Simpson County,108,0.5158425053598215,72.64,-12.249828626917004,62.71
1,21215,Spencer County,116,-0.15389130720309657,50.08,-14.236448772172608,41.43
1,21217,Taylor County,126,-0.05751122662426587,54.02,-15.959707440532888,15.56
1,21219,Todd County,114,-0.9659884493534823,15.49,-12.309487743857904,62.33
1,21221,Trigg County,109,-0.5645543873494789,32.8,-16.04704825450875,14.51
1,21223,Trimble County,81,-0.5165306921934505,35.38,-15.577826531167291,20.94
