geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
5,333922,Conveyor and Conveying Equipment Manufacturing,125,0.00021204135616428957,-0.7369262648519848,23.04
5,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",74,9.124363735389e-05,-0.0771323608368756,49.26
5,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",80,0.00018910711360545316,-0.5023383423761774,32.45
5,333991,Power-Driven Handtool Manufacturing,40,5.929172863635151e-05,0.32146216105409897,66.91
5,333992,Welding and Soldering Equipment Manufacturing,88,9.160503237170058e-05,-0.4513578153906879,34.78
5,333993,Packaging Machinery Manufacturing,75,0.00014061134407258592,0.2235873783555609,63.85
5,333994,Industrial Process Furnace and Oven Manufacturing,54,5.7077467098654944e-05,0.5091055910491954,73.47
5,333995,Fluid Power Cylinder and Actuator Manufacturing,73,9.165092380253367e-05,-0.39609976875539765,36.89
5,333996,Fluid Power Pump and Motor Manufacturing,54,0.00010603215093985307,-0.10345372350442009,48.52
5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,121,0.0002789453258900798,-0.2566534952515169,41.97
5,334111,Electronic Computer Manufacturing,25,0.00035601998397425343,2.7081371273079062,98.94
5,334112,Computer Storage Device Manufacturing,15,7.954705892030634e-05,2.446938185852828,98.1
5,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,43,0.00017578712580614895,1.659575945505372,94.08
5,334210,Telephone Apparatus Manufacturing,28,7.859481173051974e-05,1.9151599605533491,96.19
5,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,50,0.00029266112728031936,1.218927152866337,88.05
5,334290,Other Communications Equipment Manufacturing,56,0.0001059288952204786,1.4565053624912854,91.33
5,334310,Audio and Video Equipment Manufacturing,45,0.00011066144902514095,1.6508789380744318,93.87
5,334412,Bare Printed Circuit Board Manufacturing,41,0.0001576370649116621,1.4409993113114488,91.01
5,334413,Semiconductor and Related Device Manufacturing,32,0.001178968067388629,1.3815577569288702,90.06
5,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",63,9.849448342551813e-05,0.33944080960585776,67.97
5,334417,Electronic Connector Manufacturing,40,0.00013322282370845854,1.5571560173581427,92.28
5,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,77,0.0003462451092068054,0.747507647510872,79.07
5,334419,Other Electronic Component Manufacturing,86,0.00037362508412759735,0.21538601422325748,63.74
5,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,37,0.0004272262753406458,1.5943652781179385,92.81
5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",49,0.0007062576476635377,1.2300563059196223,88.27
5,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",56,7.524473727970421e-05,0.3286424830232266,67.34
5,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",96,0.0003293742719467909,0.10445147614105176,59.94
5,334514,Totalizing Fluid Meter and Counting Device Manufacturing,46,5.190894470107825e-05,0.9462398280723724,83.4
5,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,57,0.00020936818031826212,0.6868494881600437,77.27
5,334516,Analytical Laboratory Instrument Manufacturing,50,0.000257514027691027,1.7349757878347871,94.82
5,334517,Irradiation Apparatus Manufacturing,21,7.708039451302778e-05,2.8191896214803407,99.15
5,334519,Other Measuring and Controlling Device Manufacturing,54,0.00023609420234968256,0.8762796308442529,81.29
5,334610,Manufacturing and Reproducing Magnetic and Optical Media,41,6.701869830287294e-05,1.4055453744942705,90.59
5,335131,Residential Electric Lighting Fixture Manufacturing,60,3.865205761916955e-05,0.5937379668495447,75.58
5,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",59,0.00010596331379360342,0.8827623789386563,81.5
5,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,44,6.712195402224739e-05,0.90170172510499,81.92
5,335210,Small Electrical Appliance Manufacturing,42,5.984242580634858e-05,0.1279390215683057,61.1
5,335220,Major Household Appliance Manufacturing,43,0.00028907585924648426,-0.06663753490451495,50.21
