geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
2,01,Alabama,335,1.0457572245487585,31.37,0.55446776131318,66.67
2,02,Alaska,226,0.887267290226266,17.65,-3.3390021821083713,54.9
2,04,Arizona,316,1.9851110032001988,84.31,-8.264252110662552,39.22
2,05,Arkansas,347,0.6799796544058063,13.73,9.492343013981957,90.2
2,06,California,337,2.310448771281906,94.12,-26.32189348870834,3.92
2,08,Colorado,353,1.74287186154968,64.71,-2.6879916428363972,56.86
2,09,Connecticut,301,2.3126917709958734,96.08,-23.36423848360837,7.84
2,10,Delaware,220,1.77296864227041,66.67,-9.117960497359435,33.33
2,11,District of Columbia,114,2.4563864831863222,100.0,0.11899812470159708,64.71
2,12,Florida,371,1.8804610873668433,76.47,-12.644816567834466,25.49
2,13,Georgia,373,1.640767800016822,58.82,-8.294089694563437,37.25
2,15,Hawaii,220,1.8296429006212387,72.55,-11.039721401292047,29.41
2,16,Idaho,344,0.9087294646829572,21.57,13.910049414850606,98.04
2,17,Illinois,418,2.136135477434191,88.24,-18.596539545400518,13.73
2,18,Indiana,389,1.349722804818135,39.22,-6.079724452329589,47.06
2,19,Iowa,303,0.7457259876521399,15.69,4.504770766778432,78.43
2,20,Kansas,281,1.0434824779190564,29.41,3.9699915079999286,74.51
2,21,Kentucky,357,1.306688391735935,37.25,-0.43180853187618884,60.78
2,22,Louisiana,301,1.0875585953844333,33.33,6.9531046056249854,86.27
2,23,Maine,275,1.0315031133018682,27.45,-4.162379899609259,50.98
2,24,Maryland,257,1.8868035564188583,78.43,-13.768933447532673,19.61
2,25,Massachusetts,307,2.4054998405676358,98.04,-24.08027927344654,5.88
2,26,Michigan,373,1.685216015962811,60.78,-6.844893901045269,43.14
2,27,Minnesota,354,1.6401673075699494,56.86,2.233194649169277,70.59
2,28,Mississippi,294,0.45940561668642915,7.84,-0.23599196281134513,62.75
2,29,Missouri,372,1.411270523854034,41.18,6.455361718216459,82.35
2,30,Montana,316,0.5788223542080242,9.8,22.068157813574736,100.0
2,31,Nebraska,271,0.9241729376832342,23.53,7.520445497406099,88.24
2,32,Nevada,250,1.8926794915524139,80.39,-10.445897155801667,31.37
2,33,New Hampshire,334,1.7112252912040389,62.75,-19.204153990990996,11.76
2,34,New Jersey,347,2.254187317442102,92.16,-28.236119906200937,1.96
2,35,New Mexico,243,0.9926710386662351,25.49,6.736332701366147,84.31
2,36,New York,287,2.189252427511355,90.2,-20.669826643844377,9.8
2,37,North Carolina,353,1.5569747040390698,47.06,-4.450589166870799,49.02
2,38,North Dakota,229,0.37497013454630373,3.92,6.17541946935162,80.39
2,39,Ohio,396,1.7960464986402227,70.59,-16.121678729119065,15.69
2,40,Oklahoma,283,0.8949223121605583,19.61,11.015735739414795,94.12
2,41,Oregon,343,1.5281698905569823,45.1,4.486623768902463,76.47
2,42,Pennsylvania,399,1.8318222134432085,74.51,-14.025746838356186,17.65
2,44,Rhode Island,272,1.9943552336554111,86.27,-13.049876369465597,23.53
2,45,South Carolina,380,1.438449373210534,43.14,-6.811148593381333,45.1
2,46,South Dakota,281,0.41436965357081257,5.88,10.97372859099465,92.16
2,47,Tennessee,383,1.5986182564144094,52.94,-8.982213314618129,35.29
2,48,Texas,363,1.5640387225903272,49.02,11.682092633884144,96.08
2,49,Utah,392,1.9075256299988572,82.35,-8.219386679606163,41.18
2,50,Vermont,291,1.186285165538072,35.29,-3.9657135528263208,52.94
2,51,Virginia,258,1.6145694226642278,54.9,-13.608847125518395,21.57
2,53,Washington,290,1.7831290611791182,68.63,1.3541678210440795,68.63
2,54,West Virginia,252,0.6158346585874123,11.76,-2.4287516431160374,58.82
2,55,Wisconsin,388,1.5648819535714895,50.98,-12.11050658581643,27.45
2,56,Wyoming,231,0.19890910140152143,1.96,3.504791899136031,72.55
