geo_aggregation_level,from,to,weight
1,111000,112000,0.6811764705882353
1,113110,113210,0.3338323353293413
1,111000,113310,0.41097560975609754
1,112000,113310,0.4294117647058823
1,113110,113310,0.39429407461594734
1,113210,113310,0.24871982443306512
1,114111,114112,0.6027667984189723
1,111000,114210,0.32195121951219513
1,112000,114210,0.34411764705882353
1,113110,114210,0.2705761316872428
1,113310,114210,0.3606437454279444
1,114111,114210,0.26337448559670784
1,114112,114210,0.24279835390946503
1,111000,115112,0.6597560975609756
1,112000,115112,0.6058823529411764
1,113310,115112,0.4365904365904366
1,114210,115112,0.32224532224532226
1,111000,115113,0.25182926829268293
1,112000,115113,0.24235294117647058
1,115112,115113,0.2681912681912682
1,111000,115114,0.24878048780487805
1,115112,115114,0.25294525294525294
1,115113,115114,0.3393213572854291
1,111000,115115,0.72
1,112000,115115,0.7461111111111111
1,113310,115115,0.45611111111111113
1,114210,115115,0.3472222222222222
1,115112,115115,0.6416666666666667
1,111000,115116,0.27926829268292686
1,115112,115116,0.30145530145530147
1,115113,115116,0.30178571428571427
1,115114,115116,0.3107142857142857
1,115115,115116,0.2544444444444444
1,111000,115210,0.6024390243902439
1,112000,115210,0.6829411764705883
1,113310,115210,0.4897324206596142
1,114210,115210,0.3466085874299938
1,115112,115210,0.5644057249533292
1,115115,115210,0.6627777777777778
1,111000,115310,0.2603658536585366
1,112000,115310,0.2676470588235294
1,113110,115310,0.43
1,113210,115310,0.25666666666666665
1,113310,115310,0.5171909290416972
1,114111,115310,0.24666666666666667
1,114210,115310,0.37448559670781895
1,115112,115310,0.2751212751212751
1,115115,115310,0.28444444444444444
1,115210,115310,0.31985065339141255
1,211120,211130,0.44297082228116713
1,212114,212115,0.4
1,212311,212319,0.2483221476510067
1,111000,212321,0.2823170731707317
1,112000,212321,0.2994117647058824
1,113310,212321,0.2765179224579371
1,114210,212321,0.33539094650205764
1,115112,212321,0.28274428274428276
1,115115,212321,0.2588888888888889
1,115210,212321,0.3030491599253267
1,115310,212321,0.2833333333333333
1,211120,213111,0.4895591647331787
